0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:43 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:43 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.woff HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:43 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:43 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.ttf HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:43 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.ttf HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:43 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.ttf HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:45 -0500] "GET /signup/registration.jsp HTTP/1.1" 200 2961
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:45 -0500] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:45 -0500] "GET /signup/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:45 -0500] "GET /signup/js/main.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:45 -0500] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:45 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:45 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:45 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.woff2 HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:45 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.woff HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:45 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:45 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:45 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.ttf HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:45 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.ttf HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:54:45 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.ttf HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:49 -0500] "POST /signup/RegistrationServlet HTTP/1.1" 200 2964
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:49 -0500] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:49 -0500] "GET /signup/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:49 -0500] "GET /signup/js/main.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:49 -0500] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:49 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:49 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.woff2 HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:49 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:49 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:49 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.woff HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:49 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:49 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.ttf HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:50 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.ttf HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:50 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.ttf HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:50 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-600.woff2 HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:50 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-600.woff HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:55:50 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-600.ttf HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:29 -0500] "GET /signup/login.jsp HTTP/1.1" 200 2510
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:29 -0500] "GET /signup/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:29 -0500] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:29 -0500] "GET /signup/js/main.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:29 -0500] "GET /signup/alert/dist/sweetalert.css HTTP/1.1" 404 795
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:29 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.woff2 HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:29 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:29 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 404 810
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:30 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.woff HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:30 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.woff HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:30 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.woff HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:30 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-regular.ttf HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:30 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-italic.ttf HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:30 -0500] "GET /signup/fonts/poppins/poppins-v5-latin-700.ttf HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:39 -0500] "POST /signup/Login HTTP/1.1" 200 2512
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:39 -0500] "GET /signup/vendor/jquery/jquery.min.js HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:39 -0500] "GET /signup/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [18/Apr/2024:13:56:39 -0500] "GET /signup/js/main.js HTTP/1.1" 404 776
